template_name,discord_channel,meta_category,fuzi_category,event,audience,language,body_text,recommended_variables
"fuzi_follow_up_required","#fuzi-follow-up-required","UTILITY","Work Order Management","Follow-Up Required","customer","en","Dear {{1}},
Fuzi Elevators has marked work order {{2}} for follow-up.

Reason: {{3}}
Next action date: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_service_report_available","#fuzi-service-report-available","UTILITY","Work Order Management","Service Report Available","customer","en","Dear {{1}},
Your Fuzi Elevators service report for work order {{2}} is now available.

Report reference: {{3}}
Please contact us for any clarification.","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details"
"fuzi_project_created","#fuzi-project-created","UTILITY","Project Management","Project Created","customer","en","Dear {{1}},
Fuzi Elevators has created project {{2}} for {{3}}.

Project status: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_project_assigned","#fuzi-project-assigned","UTILITY","Project Management","Project Assigned","staff","en","Dear {{1}},
Fuzi Elevators has assigned project {{2}} to you.

Customer: {{3}}
Due date: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_project_status_updated","#fuzi-project-status-updated","UTILITY","Project Management","Project Status Updated","customer","en","Dear {{1}},
Fuzi Elevators project {{2}} has been updated.

New status: {{3}}
Update note: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_project_moved_to_new_department","#fuzi-project-moved-to-new-department","UTILITY","Project Management","Project Moved To New Department","staff","en","Dear {{1}},
Fuzi Elevators project {{2}} has moved from {{3}} to {{4}}.

Action required: {{5}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date; {{5}}:additional_reference"
"fuzi_project_delayed","#fuzi-project-delayed","UTILITY","Project Management","Project Delayed","customer","en","Dear {{1}},
Fuzi Elevators project {{2}} has a schedule update.

Reason: {{3}}
Revised date: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_project_completed","#fuzi-project-completed","UTILITY","Project Management","Project Completed","customer","en","Dear {{1}},
Fuzi Elevators has completed project {{2}}.

Completion date: {{3}}
Thank you for working with Fuzi Elevators.","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details"
"fuzi_project_approved","#fuzi-project-approved","UTILITY","Project Management","Project Approved","staff","en","Dear {{1}},
Fuzi Elevators project {{2}} has been approved by {{3}}.

Approved on: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_project_awaiting_customer_approval","#fuzi-project-awaiting-customer-approval","UTILITY","Project Management","Project Awaiting Customer Approval","customer","en","Dear {{1}},
Fuzi Elevators project {{2}} is awaiting your approval.

Approval item: {{3}}
Please review and respond.","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details"
"fuzi_customer_created","#fuzi-customer-created","UTILITY","CRM Customer Notifications","Customer Created","customer","en","Dear {{1}},
Your Fuzi Elevators customer profile has been created.

Customer ID: {{2}}
Account status: {{3}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details"
"fuzi_new_account_manager_assigned","#fuzi-new-account-manager-assigned","UTILITY","CRM Customer Notifications","New Account Manager Assigned","customer","en","Dear {{1}},
Fuzi Elevators has assigned {{2}} as your account manager.

Contact reference: {{3}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details"
"fuzi_customer_profile_updated","#fuzi-customer-profile-updated","UTILITY","CRM Customer Notifications","Customer Profile Updated","customer","en","Dear {{1}},
Your Fuzi Elevators customer profile has been updated.

Updated item: {{2}}
Updated on: {{3}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details"
"fuzi_contract_generated","#fuzi-contract-generated","UTILITY","CRM Customer Notifications","Contract Generated","customer","en","Dear {{1}},
Fuzi Elevators has generated contract {{2}} for {{3}}.

Status: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_contract_signed","#fuzi-contract-signed","UTILITY","CRM Customer Notifications","Contract Signed","customer","en","Dear {{1}},
Fuzi Elevators has received the signed contract {{2}}.

Signed on: {{3}}
Thank you.","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details"
"fuzi_renewal_reminder","#fuzi-renewal-reminder","UTILITY","CRM Customer Notifications","Renewal Reminder","customer","en","Dear {{1}},
Your Fuzi Elevators contract {{2}} is due for renewal on {{3}}.

Please contact {{4}} for assistance.","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_customer_follow_up_reminder","#fuzi-customer-follow-up-reminder","UTILITY","CRM Customer Notifications","Customer Follow-Up Reminder","staff","en","Dear {{1}},
Fuzi Elevators follow-up is due for customer {{2}}.

Follow-up reason: {{3}}
Due date: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_customer_reactivated","#fuzi-customer-reactivated","UTILITY","CRM Customer Notifications","Customer Reactivated","customer","en","Dear {{1}},
Your Fuzi Elevators customer account {{2}} has been reactivated.

Reactivation date: {{3}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details"
"fuzi_new_lead_created","#fuzi-new-lead-created","UTILITY","Sales Pipeline","New Lead Created","staff","en","Dear {{1}},
A new Fuzi Elevators lead has been created.

Lead ID: {{2}}
Customer: {{3}}
Requirement: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_lead_assigned","#fuzi-lead-assigned","UTILITY","Sales Pipeline","Lead Assigned","staff","en","Dear {{1}},
Fuzi Elevators lead {{2}} has been assigned to you.

Customer: {{3}}
Follow-up date: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_quotation_sent","#fuzi-quotation-sent","UTILITY","Sales Pipeline","Quotation Sent","customer","en","Dear {{1}},
Fuzi Elevators has sent quotation {{2}} for {{3}}.

Valid until: {{4}}
Please review it when convenient.","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_quotation_viewed","#fuzi-quotation-viewed","UTILITY","Sales Pipeline","Quotation Viewed","staff","en","Dear {{1}},
Fuzi Elevators quotation {{2}} has been viewed by {{3}}.

Viewed on: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_quotation_accepted","#fuzi-quotation-accepted","UTILITY","Sales Pipeline","Quotation Accepted","staff","en","Dear {{1}},
Fuzi Elevators quotation {{2}} has been accepted by {{3}}.

Accepted on: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_quotation_rejected","#fuzi-quotation-rejected","UTILITY","Sales Pipeline","Quotation Rejected","staff","en","Dear {{1}},
Fuzi Elevators quotation {{2}} was not accepted by {{3}}.

Reason: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_sales_follow_up_required","#fuzi-sales-follow-up-required","UTILITY","Sales Pipeline","Sales Follow-Up Required","staff","en","Dear {{1}},
A Fuzi Elevators sales follow-up is required.

Lead or deal: {{2}}
Customer: {{3}}
Due date: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_deal_won","#fuzi-deal-won","UTILITY","Sales Pipeline","Deal Won","staff","en","Dear {{1}},
Fuzi Elevators deal {{2}} has been marked as won.

Customer: {{3}}
Value: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_deal_lost","#fuzi-deal-lost","UTILITY","Sales Pipeline","Deal Lost","staff","en","Dear {{1}},
Fuzi Elevators deal {{2}} has been marked as lost.

Customer: {{3}}
Reason: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_breakdown_call_received","#fuzi-breakdown","UTILITY","WhatsApp And Discord Integration Notifications","Breakdown Call Received","staff","en","Ok, {{1}} is logged; {{2}}current task is {{3}}.","{{1}}:site_or_unit; {{2}}:phone_text; {{3}}:current_task"
"fuzi_breakdown_temporary_operation_request","#fuzi-breakdown","UTILITY","WhatsApp And Discord Integration Notifications","Breakdown Temporary Operation Request","staff","en","Ok, {{1}} is logged as a temporary switch-on request; {{2}}current task is {{3}}.","{{1}}:site_or_unit; {{2}}:phone_text; {{3}}:current_task"
"fuzi_breakdown_engineer_context_required","#fuzi-breakdown","UTILITY","WhatsApp And Discord Integration Notifications","Breakdown Engineer Context Required","staff","en","Choose scheduled_engineer for {{1}} from {{2}} available Breakdown engineers. {{3}}","{{1}}:breakdown_id; {{2}}:available_engineer_count; {{3}}:decision_note"
"fuzi_breakdown_engineer_assigned","#fuzi-breakdown","UTILITY","WhatsApp And Discord Integration Notifications","Breakdown Engineer Assigned","staff","en","Ok, {{1}} is going to {{2}}; {{3}}current task is {{4}}.","{{1}}:engineer_name; {{2}}:site_or_unit; {{3}}:phone_text; {{4}}:current_task"
"fuzi_breakdown_engineer_busy_retry","#fuzi-breakdown","UTILITY","WhatsApp And Discord Integration Notifications","Breakdown Engineer Busy Retry","staff","en","{{1}} is busy on {{2}}; {{3}}","{{1}}:engineer_name; {{2}}:current_job; {{3}}:retry_instruction"
"fuzi_breakdown_waiting_for_engineer","#fuzi-breakdown","UTILITY","WhatsApp And Discord Integration Notifications","Breakdown Waiting For Engineer","staff","en","Ok, {{1}} is logged and waiting because {{2}}; it will be assigned automatically when an engineer becomes available.","{{1}}:site_or_unit; {{2}}:waiting_reason"
"fuzi_breakdown_auto_assigned","#fuzi-breakdown","UTILITY","WhatsApp And Discord Integration Notifications","Breakdown Auto Assigned","staff","en","{{1}} is now assigned to {{2}}{{3}}, and the current task is {{4}}.","{{1}}:engineer_name; {{2}}:site_or_unit; {{3}}:phone_text; {{4}}:current_task"
"fuzi_breakdown_closed","#fuzi-breakdown","UTILITY","WhatsApp And Discord Integration Notifications","Breakdown Closed","staff","en","Done, {{1}} is marked {{2}}; {{3}}current task is {{4}}.","{{1}}:site_or_unit; {{2}}:closed_status; {{3}}:phone_text; {{4}}:current_task"
"fuzi_breakdown_assignment_summary","#fuzi-breakdown","UTILITY","WhatsApp And Discord Integration Notifications","Breakdown Assignment Summary","staff","en","Breakdown {{1}} assigned from Discord message {{2}}.
Unit: {{3}}.
Site: {{4}}.
Fault: {{5}}.
Priority: {{6}}.
Scheduled engineer: {{7}} ({{8}}).
Technician: {{9}}.","{{1}}:breakdown_id; {{2}}:discord_message_id; {{3}}:unit; {{4}}:site; {{5}}:fault; {{6}}:priority; {{7}}:scheduled_engineer; {{8}}:engineer_availability; {{9}}:technician"
"fuzi_breakdown_report_pdf_ready","#fuzi-breakdown-report-pdf","UTILITY","WhatsApp And Discord Integration Notifications","Breakdown Report PDF Ready","staff","en","Dear {{1}},
Fuzi Elevators breakdown report PDF is ready.

Breakdown ID: {{2}}
Report reference: {{3}}
Generated on: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_breakdown_report_pdf_shared","#fuzi-breakdown-report-pdf","UTILITY","WhatsApp And Discord Integration Notifications","Breakdown Report PDF Shared","staff","en","Dear {{1}},
Fuzi Elevators shared a breakdown report PDF.

Breakdown ID: {{2}}
Recipient: {{3}}
Shared on: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_service_call_received","#fuzi-service","UTILITY","WhatsApp And Discord Integration Notifications","Service Call Received","staff","en","Dear {{1}},
Fuzi Elevators received a service call in #fuzi-service.

Service ID: {{2}}
Customer or building: {{3}}
Service status: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_service_technician_update","#fuzi-service","UTILITY","WhatsApp And Discord Integration Notifications","Service Technician Update","staff","en","Dear {{1}},
Fuzi Elevators received a technician update in #fuzi-service.

Service ID: {{2}}
Technician: {{3}}
Update: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_service_report_ready","#fuzi-service-report","UTILITY","WhatsApp And Discord Integration Notifications","Service Report Ready","staff","en","Dear {{1}},
Fuzi Elevators service report is ready.

Service ID: {{2}}
Report reference: {{3}}
Prepared on: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_service_report_shared","#fuzi-service-report","UTILITY","WhatsApp And Discord Integration Notifications","Service Report Shared","staff","en","Dear {{1}},
Fuzi Elevators shared a service report.

Service ID: {{2}}
Recipient: {{3}}
Shared on: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_site_visit_offer_created","#new-site-visit-offer","UTILITY","WhatsApp And Discord Integration Notifications","Site Visit Offer Created","staff","en","Dear {{1}},
Fuzi Elevators created a site visit or offer from #new-site-visit-offer.

Customer: {{2}}
Reference: {{3}}
Status: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_site_visit_offer_sent","#new-site-visit-offer","UTILITY","WhatsApp And Discord Integration Notifications","Site Visit Offer Sent","staff","en","Dear {{1}},
Fuzi Elevators sent a site visit offer update.

Customer: {{2}}
Offer reference: {{3}}
Sent on: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_site_visit_modified","#mod-site-visit","UTILITY","WhatsApp And Discord Integration Notifications","Site Visit Modified","staff","en","Dear {{1}},
Fuzi Elevators received a site visit modification.

Site Visit ID: {{2}}
Customer: {{3}}
Updated item: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_metrics_snapshot_ready","#fuzi-metrics","UTILITY","WhatsApp And Discord Integration Notifications","Metrics Snapshot Ready","staff","en","Dear {{1}},
Fuzi Elevators metrics snapshot is ready.

Metric: {{2}}
Value: {{3}}
Period: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_metrics_alert_triggered","#fuzi-metrics","UTILITY","WhatsApp And Discord Integration Notifications","Metrics Alert Triggered","staff","en","Dear {{1}},
Fuzi Elevators metrics alert was triggered.

Alert: {{2}}
Value: {{3}}
Detected at: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_engineer_attendance_received","#engineer-attendance","UTILITY","WhatsApp And Discord Integration Notifications","Engineer Attendance Received","staff","en","Dear {{1}},
Fuzi Elevators received engineer attendance.

Engineer: {{2}}
Movement or status: {{3}}
Time: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_engineer_breakdown_movement","#engineer-attendance","UTILITY","WhatsApp And Discord Integration Notifications","Engineer Breakdown Movement","staff","en","Dear {{1}},
Fuzi Elevators matched engineer attendance to a breakdown.

Engineer: {{2}}
Breakdown ID: {{3}}
Movement: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_install_location_customer_linked","#install-locations-customers","UTILITY","WhatsApp And Discord Integration Notifications","Install Location Customer Linked","staff","en","Dear {{1}},
Fuzi Elevators linked an install location to a customer.

Customer: {{2}}
Location or job: {{3}}
Status: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_install_location_updated","#install-locations-customers","UTILITY","WhatsApp And Discord Integration Notifications","Install Location Updated","staff","en","Dear {{1}},
Fuzi Elevators updated an installation location.

Location or job: {{2}}
Customer: {{3}}
Updated item: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_elevator_catalog_request_received","#fuzi-elevator-catalog","UTILITY","WhatsApp And Discord Integration Notifications","Elevator Catalog Request Received","staff","en","Dear {{1}},
Fuzi Elevators received a catalog request.

Customer or campaign: {{2}}
Product line: {{3}}
Status: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_elevator_catalog_shared","#fuzi-elevator-catalog","UTILITY","WhatsApp And Discord Integration Notifications","Elevator Catalog Shared","staff","en","Dear {{1}},
Fuzi Elevators shared an elevator catalog.

Recipient: {{2}}
Catalog reference: {{3}}
Shared on: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_ai_conversation_started","#fuzi-ai-conversation-started","UTILITY","OpenClaw AI Notifications","AI Conversation Started","staff","en","Dear {{1}},
OpenClaw AI has started a Fuzi Elevators conversation.

Customer: {{2}}
Conversation ID: {{3}}
Topic: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_ai_conversation_escalated_to_human","#fuzi-ai-conversation-escalated-to-human","UTILITY","OpenClaw AI Notifications","AI Conversation Escalated To Human","staff","en","Dear {{1}},
OpenClaw AI escalated a Fuzi Elevators conversation to a human agent.

Customer: {{2}}
Reason: {{3}}
Conversation ID: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_ai_unable_to_resolve_request","#fuzi-ai-unable-to-resolve-request","UTILITY","OpenClaw AI Notifications","AI Unable To Resolve Request","staff","en","Dear {{1}},
OpenClaw AI could not resolve a Fuzi Elevators request.

Customer: {{2}}
Issue: {{3}}
Action needed: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_ai_generated_report_ready","#fuzi-ai-generated-report-ready","UTILITY","OpenClaw AI Notifications","AI Generated Report Ready","staff","en","Dear {{1}},
OpenClaw AI has prepared a Fuzi Elevators report.

Report: {{2}}
Reference: {{3}}
Status: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_ai_analysis_completed","#fuzi-ai-analysis-completed","UTILITY","OpenClaw AI Notifications","AI Analysis Completed","staff","en","Dear {{1}},
OpenClaw AI completed analysis for Fuzi Elevators.

Subject: {{2}}
Result: {{3}}
Completed on: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_ai_recommendation_available","#fuzi-ai-recommendation-available","UTILITY","OpenClaw AI Notifications","AI Recommendation Available","staff","en","Dear {{1}},
OpenClaw AI has a Fuzi Elevators recommendation available.

Subject: {{2}}
Recommendation: {{3}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details"
"fuzi_ai_follow_up_scheduled","#fuzi-ai-follow-up-scheduled","UTILITY","OpenClaw AI Notifications","AI Follow-Up Scheduled","staff","en","Dear {{1}},
OpenClaw AI scheduled a Fuzi Elevators follow-up.

Customer: {{2}}
Follow-up date: {{3}}
Reason: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_maintenance_scheduled","#fuzi-maintenance-scheduled","UTILITY","Elevator Service Notifications","Maintenance Scheduled","customer","en","Dear {{1}},
Fuzi Elevators has scheduled maintenance for {{2}}.

Date: {{3}}
Time: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_maintenance_reminder","#fuzi-maintenance-reminder","UTILITY","Elevator Service Notifications","Maintenance Reminder","customer","en","Dear {{1}},
This is a reminder for Fuzi Elevators maintenance at {{2}}.

Scheduled time: {{3}}
Service reference: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_parts_ordered","#fuzi-parts-ordered","UTILITY","Elevator Service Notifications","Parts Ordered","customer","en","Dear {{1}},
Fuzi Elevators has ordered parts for {{2}}.

Part details: {{3}}
Expected date: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_parts_delivered","#fuzi-parts-delivered","UTILITY","Elevator Service Notifications","Parts Delivered","customer","en","Dear {{1}},
Parts for your Fuzi Elevators service {{2}} have been delivered.

Delivered item: {{3}}
Delivered on: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_inspection_scheduled","#fuzi-inspection-scheduled","UTILITY","Elevator Service Notifications","Inspection Scheduled","customer","en","Dear {{1}},
Fuzi Elevators has scheduled an inspection for {{2}}.

Inspection date: {{3}}
Inspector: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_inspection_passed","#fuzi-inspection-passed","UTILITY","Elevator Service Notifications","Inspection Passed","customer","en","Dear {{1}},
Fuzi Elevators inspection for {{2}} has passed.

Inspection reference: {{3}}
Passed on: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_inspection_failed","#fuzi-inspection-failed","UTILITY","Elevator Service Notifications","Inspection Failed","customer","en","Dear {{1}},
Fuzi Elevators inspection for {{2}} requires attention.

Inspection reference: {{3}}
Required action: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_emergency_service_dispatched","#fuzi-emergency-service-dispatched","UTILITY","Elevator Service Notifications","Emergency Service Dispatched","customer","en","Dear {{1}},
Fuzi Elevators has dispatched emergency service for {{2}}.

Technician: {{3}}
Estimated arrival: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_task_assigned","#fuzi-task-assigned","UTILITY","Staff Notifications","Task Assigned","staff","en","Dear {{1}},
A Fuzi Elevators task has been assigned to you.

Task: {{2}}
Due date: {{3}}
Priority: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_task_due_soon","#fuzi-task-due-soon","UTILITY","Staff Notifications","Task Due Soon","staff","en","Dear {{1}},
Your Fuzi Elevators task {{2}} is due soon.

Due time: {{3}}
Priority: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_task_overdue","#fuzi-task-overdue","UTILITY","Staff Notifications","Task Overdue","staff","en","Dear {{1}},
Your Fuzi Elevators task {{2}} is overdue.

Due date: {{3}}
Please update the status.","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details"
"fuzi_customer_assigned","#fuzi-customer-assigned","UTILITY","Staff Notifications","Customer Assigned","staff","en","Dear {{1}},
Fuzi Elevators customer {{2}} has been assigned to you.

Customer ID: {{3}}
Next action: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_department_transfer","#fuzi-department-transfer","UTILITY","Staff Notifications","Department Transfer","staff","en","Dear {{1}},
Fuzi Elevators has transferred {{2}} from {{3}} to {{4}}.

Effective date: {{5}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date; {{5}}:additional_reference"
